y+,U+,uv+,uu+,vv+,ww+,tau_uv/tau_w,tau_nu/tau_w,tau/tau_w,P+,pp+,up+
812.73,22.351,-0.19167,1.0009,0.47611,0.50633,0.19167,0.0029178,0.19459,-0.47582,0.83222,0.11097
818.78,22.368,-0.18551,0.98577,0.47274,0.50053,0.18551,0.0028393,0.18835,-0.47246,0.8163,0.10607
824.83,22.385,-0.17934,0.97095,0.46948,0.49484,0.17934,0.0027591,0.1821,-0.4692,0.80086,0.10128
830.9,22.402,-0.17315,0.95643,0.46632,0.48925,0.17315,0.0026773,0.17583,-0.46604,0.78596,0.096588
836.97,22.418,-0.16696,0.94223,0.46326,0.48379,0.16696,0.0025941,0.16955,-0.46299,0.77165,0.092013
843.04,22.433,-0.16074,0.92834,0.4603,0.47844,0.16074,0.0025102,0.16325,-0.46004,0.75793,0.087559
849.13,22.448,-0.15452,0.91477,0.45746,0.47319,0.15452,0.0024256,0.15695,-0.4572,0.74481,0.083209
855.21,22.463,-0.14829,0.90157,0.45473,0.46803,0.14829,0.0023402,0.15063,-0.45447,0.73228,0.078934
861.31,22.477,-0.14206,0.88875,0.45211,0.46296,0.14206,0.0022539,0.14431,-0.45185,0.72029,0.074716
867.41,22.49,-0.13581,0.87634,0.4496,0.45802,0.13581,0.0021675,0.13798,-0.44936,0.70876,0.07056
873.51,22.503,-0.12956,0.86437,0.44722,0.45322,0.12956,0.0020813,0.13165,-0.44698,0.69765,0.066493
879.62,22.516,-0.12331,0.85286,0.44497,0.44858,0.12331,0.001994,0.12531,-0.44473,0.68696,0.062553
885.73,22.528,-0.11706,0.84187,0.44284,0.44412,0.11706,0.0019045,0.11896,-0.4426,0.6767,0.058776
891.85,22.539,-0.1108,0.83142,0.44082,0.43986,0.1108,0.0018125,0.11261,-0.44059,0.6669,0.055183
897.97,22.55,-0.10454,0.82153,0.43893,0.4358,0.10454,0.0017179,0.10626,-0.4387,0.65757,0.051783
904.1,22.56,-0.098274,0.81223,0.43715,0.43194,0.098274,0.0016209,0.099895,-0.43692,0.64875,0.048573
910.22,22.57,-0.092005,0.80352,0.43548,0.42828,0.092005,0.0015212,0.093526,-0.43526,0.64045,0.045561
916.36,22.579,-0.085728,0.79538,0.43392,0.42485,0.085728,0.0014199,0.087148,-0.43371,0.6327,0.042747
922.49,22.587,-0.079442,0.78778,0.43248,0.42168,0.079442,0.0013189,0.080761,-0.43227,0.62549,0.040113
928.63,22.595,-0.073143,0.7807,0.43116,0.41878,0.073143,0.0012192,0.074362,-0.43095,0.61882,0.037632
934.77,22.602,-0.066831,0.77415,0.42995,0.41614,0.066831,0.0011212,0.067952,-0.42974,0.61269,0.035278
940.91,22.609,-0.060505,0.76811,0.42886,0.41377,0.060505,0.0010242,0.061529,-0.42865,0.60709,0.033044
947.06,22.615,-0.054167,0.76264,0.42788,0.41165,0.054167,0.00092591,0.055093,-0.42768,0.60201,0.03095
953.21,22.62,-0.047819,0.75775,0.42703,0.40978,0.047819,0.00082546,0.048645,-0.42683,0.59747,0.029027
959.36,22.625,-0.041462,0.75346,0.4263,0.40815,0.041462,0.00072316,0.042185,-0.4261,0.59352,0.027301
965.51,22.629,-0.035095,0.74979,0.42571,0.40677,0.035095,0.00061888,0.035714,-0.4255,0.59017,0.025784
971.66,22.632,-0.028722,0.74673,0.42522,0.40563,0.028722,0.00051173,0.029233,-0.42503,0.58743,0.024485
977.81,22.635,-0.022344,0.74429,0.42485,0.40473,0.022344,0.00040093,0.022745,-0.42465,0.58526,0.023417
983.97,22.637,-0.015963,0.74247,0.42458,0.40407,0.015963,0.00028702,0.01625,-0.42438,0.58363,0.022602
990.12,22.639,-0.0095798,0.74125,0.4244,0.40364,0.0095798,0.00017185,0.0097517,-0.4242,0.58254,0.022061
996.28,22.639,-0.0031937,0.74065,0.42431,0.40344,0.0031937,5.7124e-05,0.0032508,-0.42412,0.58199,0.021795
999.35,22.64,0.0011957,0.74057,0.4243,0.40341,-0.0011957,-5.9168e-05,-0.0012549,-0.4241,0.58192,0.021762
