y+,U+,uv+,uu+,vv+,ww+,tau_uv/tau_w,tau_nu/tau_w,tau/tau_w,P+,pp+,up+
46.129,14.63,-0.89869,5.1088,1.0258,2.1372,0.89869,0.053464,0.95215,-1.0258,8.5922,0.87644
47.996,14.727,-0.89953,5.0092,1.0433,2.1332,0.89953,0.050666,0.9502,-1.0433,8.5176,0.87091
49.9,14.821,-0.90006,4.9162,1.0594,2.1282,0.90006,0.048146,0.94821,-1.0594,8.4388,0.86391
51.839,14.912,-0.90031,4.8292,1.0739,2.1222,0.90031,0.045871,0.94618,-1.0739,8.3565,0.85558
53.815,15.001,-0.90031,4.7481,1.0872,2.1153,0.90031,0.043812,0.94412,-1.0872,8.2713,0.84608
55.826,15.087,-0.90008,4.6725,1.0991,2.1077,0.90008,0.04194,0.94202,-1.0991,8.1838,0.83555
57.873,15.171,-0.89966,4.602,1.1099,2.0994,0.89966,0.040231,0.93989,-1.1099,8.0944,0.82413
59.956,15.253,-0.89906,4.5364,1.1195,2.0905,0.89906,0.038665,0.93772,-1.1195,8.0035,0.81196
62.074,15.334,-0.8983,4.4752,1.128,2.0809,0.8983,0.037226,0.93552,-1.128,7.9115,0.79918
64.228,15.412,-0.89739,4.4181,1.1356,2.0708,0.89739,0.035898,0.93329,-1.1356,7.8188,0.78593
66.418,15.489,-0.89635,4.3648,1.1422,2.0603,0.89635,0.034669,0.93102,-1.1422,7.7257,0.77236
68.643,15.565,-0.89519,4.315,1.148,2.0493,0.89519,0.033529,0.92872,-1.148,7.6325,0.75858
70.903,15.64,-0.89392,4.2683,1.153,2.0379,0.89392,0.032469,0.92639,-1.153,7.5393,0.7447
73.198,15.713,-0.89254,4.2244,1.1573,2.0262,0.89254,0.031479,0.92402,-1.1572,7.4464,0.73078
75.529,15.786,-0.89107,4.1832,1.1608,2.0143,0.89107,0.030551,0.92162,-1.1608,7.354,0.7169
77.894,15.857,-0.88951,4.1444,1.1638,2.0021,0.88951,0.029677,0.91918,-1.1638,7.2624,0.70312
80.295,15.927,-0.88786,4.1078,1.1662,1.9897,0.88786,0.028853,0.91672,-1.1662,7.1715,0.68949
82.73,15.996,-0.88614,4.0731,1.1681,1.9772,0.88614,0.028075,0.91421,-1.1681,7.0817,0.67605
85.2,16.065,-0.88434,4.0402,1.1696,1.9646,0.88434,0.027342,0.91168,-1.1696,6.993,0.66282
87.705,16.132,-0.88247,4.0089,1.1706,1.9519,0.88247,0.026648,0.90912,-1.1706,6.9054,0.64983
90.244,16.199,-0.88053,3.9792,1.1712,1.9392,0.88053,0.025989,0.90652,-1.1712,6.8189,0.63711
92.818,16.265,-0.87853,3.9509,1.1714,1.9264,0.87853,0.02536,0.90389,-1.1714,6.7337,0.62471
95.426,16.331,-0.87647,3.9238,1.1713,1.9136,0.87647,0.024758,0.90123,-1.1713,6.6498,0.61266
98.069,16.395,-0.87435,3.8977,1.1709,1.9007,0.87435,0.024181,0.89854,-1.1709,6.5673,0.60099
100.75,16.459,-0.87218,3.8727,1.1703,1.8879,0.87218,0.02363,0.89581,-1.1703,6.4862,0.58971
